Array Size,Gops/s
4096, 18.584577140316892
8192, 29.186353593578986
12288, 35.201881193346836
16384, 31.18076956898923
20480, 37.16795499847214
24576, 37.47121978125745
28672, 43.15341848117668
32768, 44.68163932960894
36864, 45.84176901473033
40960, 51.782500091929236
45056, 51.95301434148628
49152, 52.52404911798099
53248, 58.04374884637754
57344, 58.15730133100589
61440, 58.35544658493872
65536, 61.077054609300184
69632, 62.402091894843586
73728, 62.2849734444358
77824, 63.01002033577678
81920, 67.22771378121584
86016, 67.4202981450253
90112, 67.65838456752387
94208, 67.3624916011438
98304, 71.40869202495355
102400, 71.26226149926666
106496, 71.62238291142867
110592, 64.87681245944192
114688, 65.18851325556734
118784, 67.74235250558432
122880, 71.53486253904288
126976, 72.01739427479293
131072, 71.93578298162583
135168, 62.77728987592126
139264, 66.37707354603673
143360, 66.68498822423932
147456, 65.65435429321951
151552, 66.11717383561663
155648, 64.91863959720644
159744, 63.52888888324187
163840, 62.954176960357586
167936, 63.447524406698946
172032, 62.60607077983089
176128, 61.51349526750923
180224, 62.25664598597039
184320, 62.70950101156061
188416, 61.704166216111844
192512, 60.486542836628864
196608, 61.19594652968017
200704, 61.77416069221261
204800, 62.49653725971084
208896, 62.20357452110263
212992, 62.69286765513455
217088, 63.39510718584467
221184, 63.725819127976024
225280, 64.55999803342404
229376, 64.94942880390562
233472, 64.71720375300916
237568, 65.16150857142857
241664, 66.26575822319718
245760, 66.74151170568562
249856, 66.28579008456309
253952, 66.76911590566985
258048, 68.07210977743635
262144, 68.12692414468627
266240, 67.78579309174233
270336, 68.39491532396299
274432, 68.42781302531658
278528, 68.47563910289334
282624, 67.70507525404774
286720, 68.36882698284793
290816, 67.60600463991206
294912, 68.39612836489916
299008, 68.30962517099864
303104, 67.78955583155059
307200, 67.23983960496595
311296, 67.61850356376512
315392, 67.72135012900206
319488, 68.34864734263198
323584, 68.27603640661842
327680, 68.2919496152264
331776, 68.29126881496897
335872, 67.72546178773142
339968, 68.31505252948739
344064, 67.76133106960951
348160, 66.86535842743622
352256, 68.24082424205916
356352, 67.05922440566242
360448, 68.37662579577704
364544, 68.34616937332446
368640, 67.72597880932801
372736, 68.29723818477053
376832, 68.27287414018366
380928, 67.56964498615815
385024, 68.30416765413801
389120, 68.2467894150895
393216, 68.30354864079331
397312, 68.2835877512397
401408, 67.54751072508901
405504, 68.15933684126375
409600, 67.37500632004719
413696, 68.20838088044945
417792, 68.23424481079695
421888, 68.26247209421403
425984, 68.18462060431612
430080, 68.24798905608755
434176, 67.40689239924454
438272, 68.00773956618411
442368, 67.51465972263492
446464, 68.24149290109791
450560, 68.13512374299994
454656, 68.10319546442268
458752, 68.25061309503813
462848, 68.10682620338889
466944, 67.27135612423987
471040, 66.88766864171666
475136, 68.22661573870839
479232, 68.01016601997588
483328, 68.11008370997234
487424, 68.08794569422886
491520, 68.09080269555575
495616, 68.10378807041532
499712, 67.52294569715396
503808, 68.04500954979537
507904, 67.49477021418832
512000, 67.90875848859483
516096, 67.95796161309075
520192, 68.05919182282794
524288, 68.13009831580747
528384, 67.385004048583
532480, 67.39149208618096
536576, 67.36627472156599
540672, 68.02300717948718
544768, 67.79117125656968
548864, 68.01242417021277
552960, 67.8016348773842
557056, 67.88777716654229
561152, 67.99911499424407
565248, 67.8779687846482
569344, 66.73489618218353
573440, 67.49583979349141
577536, 67.15760578054109
581632, 66.93447345982312
585728, 67.92786560927773
589824, 66.9032274952229
593920, 67.88040413166186
598016, 67.78224959701366
602112, 66.78586620321092
606208, 67.88151439693074
610304, 67.8096141760086
614400, 67.85941707857509
618496, 67.52945644330876
622592, 67.50487745541508
626688, 67.78844791916823
630784, 67.60502724174607
634880, 66.23000664451827
638976, 66.94254158042554
643072, 61.28260682446973
647168, 63.73221997057153
651264, 61.743310491234226
655360, 62.90956696700073
659456, 60.60423934503653
663552, 61.95148214424649
667648, 62.272020031298915
671744, 62.7606710001938
675840, 63.260791908607615
679936, 64.43573902745482
684032, 64.25691268034093
688128, 63.60722830275643
692224, 65.44100083507965
696320, 65.98658714380386
700416, 64.8417061364192
704512, 66.00595631240208
708608, 66.83934671006948
712704, 66.9617464262058
716800, 67.54548727088577
720896, 67.40655407808927
724992, 67.3877185757407
729088, 67.27022904259266
733184, 65.51804336241726
737280, 66.80797994944405
741376, 67.0358971036966
745472, 67.44417115368385
749568, 66.99956853620868
753664, 67.43895127734777
757760, 67.52060140106532
761856, 66.29415746293988
765952, 67.25870827898646
770048, 67.46471414008396
774144, 66.63560083727741
778240, 67.1408880833772
782336, 67.44046970982522
786432, 67.68252186977143
790528, 65.34789437428245
794624, 67.29922299101034
798720, 65.9953874618018
802816, 67.63619513898655
806912, 66.06033877412196
811008, 67.35391974029096
815104, 67.38450821616128
819200, 66.49160425605241
823296, 67.26646940696496
827392, 66.6710358794742
831488, 67.3137460862948
835584, 67.53721136839702
839680, 66.67760144082777
843776, 67.20024837593859
847872, 67.097582009376
851968, 67.2190392314607
856064, 67.37194953994619
860160, 65.77360580092288
864256, 67.28190797646103
868352, 67.35383525840993
872448, 66.70999928232088
876544, 66.49910858493598
880640, 67.24750505476446
884736, 67.15187077845663
888832, 67.15519622227845
892928, 66.7104209994952
897024, 67.1671541591564
901120, 67.02798760914857
905216, 66.56738648807287
909312, 67.08859158981302
913408, 67.1993887618851
917504, 67.08517051162967
921600, 66.60126949034367
925696, 67.1274778709664
929792, 66.9894749600202
933888, 66.06316215374628
937984, 65.19043750618785
942080, 67.00359305543908
946176, 67.05182743490946
950272, 67.05548387096775
954368, 66.25047274436028
958464, 66.85463179074446
962560, 66.97955962945748
966656, 67.12662599022417
970752, 67.00072235839966
974848, 66.45949015049791
978944, 66.96817056003155
983040, 66.81307796145735
987136, 66.31794196391452
991232, 66.27357560205581
995328, 66.79865399767255
999424, 66.92944918801273
1003520, 66.90881270229535
1007616, 66.2267113692946
1011712, 66.62037695279692
1015808, 66.9501061256991
1019904, 66.5597579223623
1024000, 66.23341464032659
1028096, 66.75612885950967
1032192, 66.83445375600708
1036288, 66.92664575790235
1040384, 66.01792216805752
1044480, 66.88799623043171
1048576, 66.32138482023969
1052672, 66.92107058922987
1056768, 66.71524112835957
1060864, 66.77761490571763
1064960, 66.78819299272514
1069056, 65.74455810877832
1073152, 65.65455867116191
1077248, 66.52022216628912
1081344, 65.57920105471327
1085440, 66.22416633287266
1089536, 66.64276659384979
1093632, 66.38759294848917
1097728, 66.59731899338583
1101824, 66.27884873737274
1105920, 65.73075780089154
1110016, 65.85100485602963
1114112, 66.69498516184751
1118208, 66.43004555694618
1122304, 66.59003733333333
1126400, 66.46987426655491
1130496, 66.16619156631475
1134592, 65.75179189990122
1138688, 66.63621106811412
1142784, 65.54587252131742
1146880, 66.04392003923772
1150976, 66.17679157613239
1155072, 66.70027905877424
1159168, 66.4497509678658
1163264, 66.53185005453626
1167360, 66.02934619863585
1171456, 65.13589253147101
1175552, 66.32354141789733
1179648, 66.43493675333094
1183744, 66.5948905818334
1187840, 66.61896845267903
1191936, 66.36859572327045
1196032, 66.01904278008364
1200128, 65.88004232804234
1204224, 65.69935181843817
1208320, 66.02181575878728
1212416, 66.45227036200532
1216512, 66.2193695371202
1220608, 66.26993860918536
1224704, 66.57786845637584
1228800, 65.2317783138784
1232896, 65.75809032400805
1236992, 65.69008893709616
1241088, 66.42384345208228
1245184, 66.32323939817225
1249280, 66.07399395603416
1253376, 65.32164427083987
1257472, 65.75561012742017
1261568, 65.62593223263049
1265664, 66.14383723399399
1269760, 65.81183268700711
1273856, 66.23132792252808
1277952, 66.27306453628921
1282048, 66.150128100051
1286144, 65.3737687928047
1290240, 65.39848926191064
1294336, 66.1010591941635
1298432, 65.49038827478917
1302528, 65.45652481528552
1306624, 66.22435745248417
1310720, 66.15436926215574
1314816, 65.97588248654417
1318912, 66.25478901540522
1323008, 65.51166130230256
1327104, 66.22275449101798
1331200, 66.27462147990752
1335296, 65.62487813042105
1339392, 65.84074267209168
1343488, 66.3857108420702
1347584, 65.51808788330932
1351680, 64.283609062919
1355776, 66.20544685758475
1359872, 66.32413963587773
1363968, 65.86022662555983
1368064, 65.57903439218585
1372160, 66.17062346538142
1376256, 66.10435757171449
1380352, 65.81449099155478
1384448, 65.9224764778124
1388544, 65.40737193326791
1392640, 65.58124943208537
1396736, 65.30315168811978
1400832, 65.3136291758822
1404928, 64.89380369195739
1409024, 65.97066118024138
1413120, 65.9474025623367
1417216, 65.0970171093954
1421312, 65.79604199388278
1425408, 66.0347849106552
1429504, 65.99551580608103
1433600, 65.02976415481965
1437696, 65.88330805176037
1441792, 66.11856642020437
1445888, 65.78901097161939
1449984, 65.30269856776225
1454080, 65.24591245682825
1458176, 65.28431236350539
1462272, 64.55037564503638
1466368, 64.57574613454221
1470464, 65.25977674049477
1474560, 65.17929737753589
1478656, 64.86997972771228
1482752, 65.87461300206952
1486848, 65.71162005277044
1490944, 65.52525286979338
1495040, 65.58683592363496
1499136, 64.3479235834485
1503232, 65.4387415285679
1507328, 65.26727767754635
1511424, 63.85955172705181
1515520, 65.43804699825625
1519616, 65.12999288532181
1523712, 65.73172722747636
1527808, 65.26056247322089
1531904, 64.6093671934107
1536000, 64.85921833728092
1540096, 64.98865209040613
1544192, 64.70996104108693
1548288, 64.97200688468159
1552384, 64.98057893022569
1556480, 65.60972461160304
1560576, 64.73249306346356
1564672, 64.48562335432169
1568768, 65.26997528082319
1572864, 64.18813408906883
1576960, 65.38772850678734
1581056, 65.17864583878635
1585152, 65.35994821708248
1589248, 65.55780172987359
1593344, 65.49615591675882
1597440, 64.68530002449181
1601536, 64.99974273791017
1605632, 64.72289466823312
1609728, 65.51629617424425
1613824, 65.45612576946964
1617920, 64.7840479658557
1622016, 65.26762350935844
1626112, 63.70083106050925
1630208, 63.69598925959899
1634304, 64.74765296559285
1638400, 65.03842406975618
1642496, 65.12100112797381
1646592, 65.39860869404045
1650688, 65.42595019659241
1654784, 65.18995536564323
1658880, 64.953291459336
1662976, 64.80532790878021
1667072, 65.28676133821693
1671168, 64.77357051495557
1675264, 64.9145889500041
1679360, 65.48367802691592
1683456, 65.01140469383267
1687552, 65.08438271346694
1691648, 64.64546474972424
1695744, 64.83577791870309
1699840, 64.95847142151212
1703936, 65.59581050360906
1708032, 65.17846435035598
1712128, 65.16152282411983
1716224, 65.08074011114743
1720320, 65.27874386653582
1724416, 65.19098789587133
1728512, 64.34823022287534
1732608, 64.44986566235929
1736704, 64.67258565879168
1740800, 64.96304870447868
1744896, 64.88752028977187
1748992, 65.30257528862688
1753088, 65.49484960424931
1757184, 64.77743744087716
1761280, 64.0344038662799
1765376, 64.37314406641705
1769472, 64.75085308174556
1773568, 64.95205297147061
1777664, 64.95516653910425
1781760, 65.30724234913109
1785856, 65.42324720764813
1789952, 65.15196797971201
1794048, 64.48315523118427
1798144, 64.55300833789153
1802240, 65.03792772440872
1806336, 65.01332024539879
1810432, 65.00301273049999
1814528, 64.85017710506804
1818624, 65.06200473427819
1822720, 64.36457017974654
1826816, 64.9356285385346
1830912, 64.60986636170561
1835008, 65.1072053236686
1839104, 65.16689830034687
1843200, 65.13040109723283
1847296, 65.12419389587075
1851392, 65.02449951219512
1855488, 63.53967544265456
1859584, 64.697104783786
1863680, 64.52372009226349
1867776, 65.03368421467552
1871872, 64.91866028708134
1875968, 64.83797013025463
1880064, 65.20630969325154
1884160, 64.92001081778278
1888256, 64.21627150612704
1892352, 63.79920836372479
1896448, 63.54590157068063
1900544, 65.04180306398729
1904640, 65.03038739330269
1908736, 64.67833411421866
1912832, 65.11593731363021
1916928, 65.03890775630046
1921024, 64.74134957571783
1925120, 64.60878177181871
1929216, 64.87607412447976
1933312, 65.01917427375221
1937408, 65.13188692204962
1941504, 65.09263551775415
1945600, 64.82155805977462
1949696, 65.32254199163322
1953792, 58.94168379135213
1957888, 61.293554717592656
1961984, 64.33616148049143
1966080, 64.17929254186012
1970176, 64.99369584479969
1974272, 62.4835663009951
1978368, 62.542258752864946
1982464, 64.24402608824714
1986560, 63.41601693681638
1990656, 63.80990785552042
1994752, 64.58471881271083
1998848, 64.3440527925318
2002944, 64.82982809016596
2007040, 64.63862952510027
2011136, 64.52663911750128
2015232, 64.19221318189265
2019328, 63.12747150247828
2023424, 64.79188106518544
2027520, 64.41963729924888
2031616, 64.57942523516056
2035712, 64.62054449753016
2039808, 64.15141055247548
2043904, 64.5319823639027
2048000, 63.756141062018656
2052096, 64.7551042813707
2056192, 64.48863772240877
2060288, 64.56790924671509
2064384, 64.31136194891978
2068480, 64.6119426004463
2072576, 64.768
2076672, 64.61905518211988
2080768, 63.76981871512678
2084864, 64.35860052372973
2088960, 63.059541066913134
2093056, 64.63797434419881
